"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Case Progression Manager","1.65","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Casework Administration Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Casework Manager","2.76","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Court Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Crown Court Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Paralegal Officer","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Lon)","26970","30110","Senior Personal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Nat)","25480","28430","Court Manager","1.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 (Nat)","25480","28430","Senior Personal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 Legal Trainee (Lon)","26970","30110","Legal Trainee","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 Paralegal Off (Lon)","26970","30110","Casework Administration Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 Paralegal Off (Lon)","26970","30110","Learning and Development Team Leader","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","17.35","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 (Lon)","31560","35020","Area Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 (Lon)","31560","35020","District Business Manager","1.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 (Lon)","31560","35020","Facilities, Estates and Security Manager","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 (Lon)","31560","35020","HR Advisor","0.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 (Lon)","31560","35020","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 (Nat)","30130","33310","Change Manager","0.99","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","2.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B3 (Lon)","39750","45530","Area Communications Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B3 (Lon)","39750","45530","Inclusion and Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level B3 (Lon)","39750","45530","Senior Business Manager","1.68","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level D Admin (Lon)","54760","65050","Head of Business Centre","1.22","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","9.45","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Principal Crown Advocate (Lon)","80660","88030","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Senior Crown Advocate (Lon)","69300","74660","Senior Crown Advocate","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Senior Crown Prosecutor (Lon)","50519","62590","Duty Prosecutor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","71.12","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Senior Crown Prosecutor (Nat)","48077","55610","Duty Prosecutor","0.73","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","1.65","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","9.78","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Crown Advocate (Nat)","51940","59930","Crown Advocate","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","9.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","23.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","23.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Legal Manager 1 (National)","58040","66990","Legal Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A1 (Nat)","18900","18900","Administrative Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 (Nat)","18736","21950","Administrative Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 (Nat)","18736","21950","Business Centre Administrator","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 (Nat)","18736","21950","Casework Assistant","60.17","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 (Nat)","18736","21950","Casework Support Officer","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 (Nat)","18736","21950","Crown Advocacy Clerk","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 (Nat)","18736","21950","Fees Clerk","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 Apprentice (Nat)","16767","18900","Administrative Officer","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level A2 Apprentice (Nat)","16767","18900","Business Centre Administrator","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Business Centre Support Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Case Progression Manager","2.86","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Casework Administration Manager","7.53","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Charging Workflow Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Court Manager","11.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Finance Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Learning and Development Team Leader","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Paralegal Officer","2.86","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Senior Personal Assistant","3.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 (Nat)","25480","28430","Victim Liaison Officer","3.30","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","6.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","41.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 (Nat)","30130","33310","Area Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 (Nat)","30130","33310","Area Performance Manager","0.93","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 (Nat)","30130","33310","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 (Nat)","30130","33310","Court Centre Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 (Nat)","30130","33310","HR Advisory Manager","2.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 (Nat)","30130","33310","Paralegal Business Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","8.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B3 (Lon)","39750","45530","Area Communications Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B3 (Nat)","38180","43390","Inclusion and Community Engagement Manager","1.76","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B3 (Nat)","38180","43390","Senior Business Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level B3 (Nat)","38180","43390","Trainee Solicitor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level D Admin (Nat)","50850","59670","Head of Business Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level D Admin (Nat)","50850","59670","Operational Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Level E Admin (Nat)","67000","77290","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","22.63","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Principal Crown Advocate (CCD)","99790","120760","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Principal Crown Advocate (Nat)","76230","83570","Principal Crown Advocate","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Senior Crown Advocate (Nat)","66410","71740","Senior Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","133.31","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor","2.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","WEST MIDLANDS","CPS-G-003","Specialist Prosecutor (Nat)","56890","66990","Specialist Prosecutor","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","13.34","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Associate Prosecutor 2 (Nat)","34290","37780","Associate Prosecutor 2","2.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","B1 Solicitor Apprentice (Nat)","25480","28430","Paralegal Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Crown Advocate (Nat)","51940","59930","Crown Advocate","9.74","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","28.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Legal Manager 1 (National)","58040","66990","Legal Manager","23.64","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Legal Manager 2 (National)","67320","77300","Legal Manager","6.88","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Legal Trainee AP1 (Nat)","30930","34480","Paralegal Officer","0.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level A1 (Nat)","18900","18900","Administrative Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level A2 (Nat)","18736","21950","Casework Assistant","86.71","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level A2 (Nat)","18736","21950","Fees Clerk","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level A2 (Nat)","18736","21950","Finance Support Officer","0.65","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level A2 (Nat)","18736","21950","Victim Liaison Officer","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level A2 Apprentice (Nat)","16767","18900","Casework Assistant","6.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Business Centre Support Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Casework Administration Manager","15.11","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Court Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Crown Advocacy Clerk","3.41","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Learning and Development Team Leader","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Senior Personal Assistant","4.18","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 (Nat)","25480","28430","Victim Liaison Officer","3.30","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","9.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","39.85","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","Advocacy Manager","0.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","Area Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","Change Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","Court Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","District Business Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","HR Advisor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 (Nat)","30130","33310","Project Manager","0.65","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","8.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B3 (Nat)","38180","43390","Area Communication Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B3 (Nat)","38180","43390","District Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B3 (Nat)","38180","43390","Inclusion & Community Engagement Manager","0.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level B3 (Nat)","38180","43390","Senior Business Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level D Admin (Nat)","50850","59670","Head of Business Operations Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level D Admin (Nat)","50850","59670","Senior Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Level E Admin (Nat)","67000","77290","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","21.75","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Principal Crown Advocate (Nat)","76230","83570","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Senior Crown Advocate (Nat)","66410","71740","Senior Crown Advocate","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","120.46","Law"
"Crown Prosecution Service","Crown Prosecution Service","YORKSHIRE AND HUMBERSIDE","CPS-G-004","Specialist Prosecutor (Nat)","56890","66990","Specialist Prosecutor","2.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20120","23520","Administrative Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20120","23520","Communications Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20120","23520","Fees Clerk","2.05","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20120","23520","HR Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20120","23520","Performance Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Nat)","18736","21950","Facilities Support Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 Apprentice (Lon)","20120","23520","Fees Clerk","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Lon)","26970","30110","Fees Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Lon)","26970","30110","Finance Officer","0.60","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Lon)","26970","30110","HR Manager","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Lon)","26970","30110","Performance Officer","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 Paralegal Off (Nat)","25480","28430","Facilities Support Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","31560","35020","Area Finance Manager","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","31560","35020","Change Manager","0.60","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","31560","35020","Communications Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","31560","35020","Facilities, Estates and Security Manager","0.83","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","31560","35020","HR Advisory Manager","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","31560","35020","Performance Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Nat)","30130","33310","Area Finance Manager","1.81","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Nat)","30130","33310","Performance Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level D Admin (Lon)","54760","65050","Change Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level D Admin (Lon)","54760","65050","Head of Business Centre","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","RCPO - Admin Officer","20275","23381","Fees Clerk","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","RCPO - Higher Exec Officer","29905","36200","HR Advisory Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Legal Manager 1 (London)","63960","71310","Legal Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Legal Manager 2 (London)","70890","79430","Unit Head","0.83","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Legal Manager 2 (National)","67320","77300","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level A2 (Lon)","20120","23520","Administrative Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level A2 Apprentice (Lon)","20120","23520","Administrative Officer","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Lon)","26970","30110","Executive Officer","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B1 (Nat)","25480","28430","Executive Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B2 (Lon)","31560","35020","Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","International Justice & Organised Crime","CPS-G-023","Level B3 (Nat)","38180","43390","Business Manager","1.00","Law"
